age,gender,daily_social_media_time,social_platform_preference,stress_level,sleep_hours,days_feeling_burnout_per_month
18,Female,0.14,Telegram,6.0,5.94,27
38,Female,3.62,Twitter,5.0,7.14,3
46,Female,2.1,TikTok,1.0,6.09,6
23,Female,5.68,Facebook,4.0,6.84,3
54,Female,2.59,Instagram,2.0,5.69,4
18,Female,2.35,Twitter,8.0,5.56,14
18,Female,1.01,Twitter,9.0,7.49,10
44,Male,0.7,TikTok,7.0,5.8,15
38,Male,1.42,Facebook,8.0,6.21,19
33,Female,4.94,Facebook,5.0,6.21,11
61,Female,6.41,TikTok,1.0,4.65,9
57,Female,6.25,TikTok,5.0,6.41,2
33,Male,1.44,Telegram,10.0,5.61,30
45,Female,3.03,TikTok,10.0,7.03,1
18,Male,3.47,Instagram,8.0,6.29,28
53,Male,0.99,Twitter,7.0,5.6,10
27,Male,7.05,Telegram,4.0,6.59,30
60,Female,4.54,Instagram,5.0,6.03,21
34,Female,3.02,Instagram,10.0,6.19,7
40,Female,3.49,Twitter,8.0,6.82,27
24,Female,3.0,TikTok,10.0,9.53,15
61,Female,5.19,Instagram,4.0,8.0,0
24,Female,3.67,Facebook,9.0,3.87,27
61,Female,1.72,Instagram,3.0,6.98,10
32,Male,3.69,Facebook,8.0,9.34,28
51,Male,2.55,Telegram,5.0,6.93,30
63,Female,2.21,Instagram,4.0,6.07,22
62,Male,2.34,Telegram,5.0,4.42,4
21,Female,2.69,TikTok,9.0,7.81,29
31,Female,3.03,TikTok,3.0,4.94,23
31,Female,4.11,TikTok,5.0,8.38,1
33,Other,4.35,Telegram,7.0,9.84,11
49,Male,0.0,Telegram,3.0,3.57,20
36,Female,5.9,TikTok,8.0,7.71,29
19,Male,7.31,Twitter,9.0,6.48,18
27,Male,2.83,Facebook,2.0,6.46,23
34,Female,5.26,Twitter,10.0,6.12,23
54,Other,2.69,Twitter,5.0,6.62,0
29,Female,3.41,Twitter,1.0,8.31,20
23,Female,2.2,Twitter,1.0,6.48,13
39,Male,4.51,Instagram,7.0,3.32,8
49,Female,3.64,Telegram,3.0,5.53,11
58,Male,5.82,Instagram,9.0,6.55,28
37,Female,2.34,TikTok,1.0,6.51,6
18,Male,3.92,Instagram,5.0,7.64,0
64,Female,3.03,Twitter,5.0,6.5,4
23,Female,3.93,Telegram,6.0,3.77,6
36,Female,3.7,Instagram,3.0,3.06,3
35,Female,5.92,Twitter,3.0,8.57,30
23,Male,0.94,Instagram,5.0,5.47,8
62,Male,4.19,Instagram,5.0,8.01,30
50,Female,3.03,Twitter,10.0,6.5,6
40,Other,1.28,Telegram,7.0,6.97,13
40,Female,2.26,Telegram,7.0,6.54,15
43,Male,3.73,Instagram,9.0,4.98,10
30,Female,3.96,TikTok,9.0,6.71,21
32,Female,4.64,Facebook,5.0,5.16,8
61,Male,4.79,Facebook,8.0,5.78,24
44,Female,3.03,Facebook,9.0,4.28,26
43,Male,2.19,Twitter,1.0,7.68,31
50,Female,1.51,Telegram,4.0,8.11,5
32,Male,3.23,Instagram,4.0,6.5,17
53,Male,0.23,Telegram,7.0,4.42,10
62,Female,7.44,Facebook,8.0,5.45,21
44,Male,3.03,Instagram,6.0,6.25,14
22,Female,1.41,Telegram,2.0,4.51,26
19,Male,3.15,Instagram,8.0,8.48,31
50,Female,3.03,TikTok,6.0,6.5,30
40,Male,3.92,Telegram,10.0,4.25,26
55,Female,1.07,Facebook,3.0,6.27,1
33,Male,3.71,Instagram,6.0,6.5,21
31,Male,2.44,Telegram,2.0,7.25,0
43,Female,4.84,Facebook,9.0,6.11,23
52,Male,0.0,Twitter,3.0,5.15,7
32,Female,4.45,TikTok,3.0,5.96,14
20,Female,6.58,Facebook,1.0,4.56,8
40,Male,3.79,Instagram,9.0,6.72,8
46,Female,7.03,Instagram,3.0,7.22,19
51,Female,4.47,TikTok,3.0,6.5,31
50,Male,2.44,TikTok,4.0,6.2,11
58,Male,3.03,Facebook,10.0,6.5,10
58,Male,2.76,Twitter,1.0,6.81,27
40,Female,3.28,TikTok,1.0,8.21,17
24,Male,2.43,TikTok,1.0,6.96,25
20,Female,4.51,Instagram,10.0,8.41,19
49,Female,0.35,TikTok,5.0,6.5,14
48,Male,0.81,Instagram,5.0,6.31,30
35,Female,3.43,Facebook,2.0,6.65,20
60,Other,1.73,Instagram,1.0,7.32,1
24,Male,2.67,Telegram,3.0,6.65,10
58,Female,0.47,Instagram,5.0,7.88,4
18,Female,2.38,Twitter,3.0,6.5,25
31,Male,2.43,Facebook,4.0,5.8,27
49,Male,1.74,Instagram,1.0,6.19,17
23,Male,3.78,TikTok,5.0,7.87,16
56,Male,0.89,Telegram,10.0,6.05,21
27,Male,5.86,Instagram,1.0,5.91,4
24,Female,3.57,Facebook,3.0,8.61,13
51,Male,0.0,Telegram,3.0,5.27,12
47,Male,3.03,TikTok,8.0,4.66,21
53,Male,4.08,TikTok,3.0,3.61,2
38,Male,5.2,Facebook,2.0,8.34,10
34,Male,4.31,Telegram,5.0,5.56,12
50,Male,4.81,Facebook,10.0,5.65,19
27,Female,3.03,Facebook,10.0,7.91,1
64,Male,3.78,Instagram,4.0,6.48,10
29,Male,4.67,Instagram,1.0,7.39,6
33,Male,4.76,TikTok,7.0,5.37,4
58,Female,3.78,TikTok,6.0,5.85,18
49,Male,4.81,Twitter,7.0,8.83,8
32,Other,4.94,Facebook,4.0,6.89,9
44,Male,1.86,Twitter,6.0,8.77,30
45,Female,1.79,Telegram,7.0,9.85,1
34,Other,4.7,Telegram,8.0,6.43,25
63,Male,1.64,Facebook,3.0,8.1,12
19,Male,3.87,Telegram,2.0,8.57,29
53,Female,1.1,Twitter,3.0,4.92,31
24,Male,2.55,Facebook,7.0,6.95,9
30,Female,0.0,Instagram,10.0,8.07,21
32,Male,1.82,Facebook,10.0,6.73,16
42,Male,3.32,Telegram,5.0,6.98,14
40,Male,1.49,Facebook,6.0,7.4,31
39,Female,0.0,Twitter,8.0,6.5,1
43,Male,1.43,Instagram,1.0,6.5,3
50,Male,2.39,Instagram,10.0,5.83,22
27,Male,2.91,Instagram,2.0,5.85,16
42,Male,1.12,TikTok,6.0,5.45,14
54,Male,3.03,Facebook,3.0,5.22,21
65,Female,6.47,Telegram,9.0,5.61,31
60,Female,1.52,Twitter,6.0,4.45,29
55,Male,6.6,Twitter,10.0,7.1,21
58,Male,3.03,Twitter,3.0,6.5,9
62,Female,3.93,Telegram,5.0,4.11,12
41,Female,5.62,TikTok,5.0,6.5,3
57,Male,5.5,Telegram,5.0,5.87,31
63,Male,2.37,Twitter,8.0,8.52,5
50,Male,5.53,Facebook,5.0,6.27,24
34,Female,4.07,Instagram,4.0,6.51,7
41,Other,2.73,Twitter,4.0,6.54,6
54,Male,1.58,Telegram,1.0,6.28,0
19,Male,2.62,Twitter,3.0,6.48,17
49,Male,4.48,Twitter,2.0,6.36,31
41,Male,2.24,Instagram,9.0,7.78,20
26,Male,3.55,TikTok,10.0,5.05,1
21,Female,1.97,Twitter,1.0,7.13,20
34,Male,4.81,Twitter,5.0,6.5,30
34,Female,1.28,Instagram,1.0,6.8,25
65,Male,7.52,Instagram,7.0,5.16,28
47,Female,3.48,Telegram,7.0,8.01,4
57,Female,1.68,Telegram,9.0,6.12,16
28,Male,1.98,Twitter,6.0,5.9,11
38,Female,0.96,TikTok,4.0,5.83,4
38,Male,5.07,Facebook,3.0,7.34,28
35,Female,3.65,TikTok,5.0,7.85,14
46,Female,3.03,Instagram,5.0,7.64,11
41,Male,3.85,Twitter,5.0,3.94,1
27,Female,1.57,Instagram,10.0,3.07,12
62,Female,2.42,Facebook,3.0,6.25,28
34,Other,0.0,TikTok,10.0,9.04,18
35,Female,6.9,Twitter,8.0,5.59,16
59,Male,0.28,Instagram,2.0,7.33,27
65,Female,3.03,Instagram,9.0,6.48,26
37,Female,2.58,Twitter,8.0,6.52,23
54,Female,3.48,Facebook,5.0,8.85,12
62,Female,3.18,Twitter,8.0,6.76,29
35,Male,3.95,Twitter,5.0,8.78,31
34,Male,7.02,Twitter,8.0,6.04,18
26,Female,3.8,Instagram,4.0,6.93,27
31,Female,0.84,TikTok,10.0,7.65,10
48,Other,5.9,TikTok,3.0,7.8,14
21,Female,3.64,TikTok,6.0,6.79,3
35,Female,4.16,TikTok,10.0,8.37,31
37,Female,1.63,TikTok,9.0,5.14,8
64,Female,3.03,Telegram,2.0,5.56,7
60,Female,1.29,Telegram,5.0,4.92,9
61,Female,1.66,Instagram,10.0,6.16,30
26,Male,4.43,Twitter,2.0,7.6,1
30,Male,5.01,Telegram,3.0,8.65,25
32,Male,1.19,Telegram,2.0,6.74,22
44,Male,2.21,Instagram,3.0,6.25,4
32,Male,2.29,TikTok,9.0,8.52,28
45,Female,5.12,TikTok,5.0,6.5,7
54,Female,2.28,Twitter,6.0,7.76,27
36,Male,2.37,TikTok,9.0,4.38,8
43,Female,5.68,Telegram,5.0,5.71,4
43,Female,0.16,Telegram,7.0,7.0,3
42,Male,1.77,Telegram,6.0,5.97,29
43,Female,0.0,Facebook,2.0,3.98,7
43,Male,0.0,TikTok,8.0,6.99,19
63,Female,1.77,Facebook,9.0,3.0,17
45,Male,0.0,TikTok,5.0,5.65,30
35,Female,0.53,Telegram,5.0,6.33,13
49,Female,3.03,Twitter,8.0,5.0,23
20,Male,2.35,Twitter,3.0,7.54,24
19,Other,4.33,Twitter,3.0,7.15,9
50,Male,2.89,Facebook,1.0,8.29,21
59,Female,4.86,Facebook,7.0,5.97,10
36,Female,0.38,Instagram,5.0,6.2,26
34,Female,6.49,TikTok,2.0,6.03,27
61,Male,2.8,Facebook,10.0,6.97,30
50,Male,0.53,Twitter,9.0,6.53,0
29,Female,2.8,TikTok,7.0,5.13,15
20,Male,3.75,Twitter,9.0,5.59,5
60,Female,4.59,Facebook,2.0,5.65,17
43,Female,5.55,Twitter,8.0,4.54,28
52,Female,3.2,TikTok,10.0,6.5,16
25,Male,2.87,TikTok,9.0,9.31,27
53,Female,3.69,Facebook,10.0,7.71,19
24,Female,5.53,TikTok,10.0,7.19,2
63,Female,1.53,Telegram,6.0,7.25,16
63,Female,1.3,Telegram,10.0,6.89,28
53,Male,2.81,Telegram,7.0,4.86,4
33,Male,3.03,Telegram,10.0,7.58,16
41,Male,1.95,Instagram,8.0,7.42,17
42,Male,3.84,TikTok,1.0,4.88,5
27,Female,3.03,Telegram,10.0,9.02,14
33,Female,1.81,Telegram,4.0,4.74,19
33,Female,3.69,Facebook,10.0,4.18,9
25,Male,0.67,Facebook,1.0,5.98,11
46,Female,5.71,TikTok,1.0,4.27,16
56,Female,6.03,Instagram,4.0,8.55,24
45,Male,2.67,Twitter,9.0,7.92,8
23,Male,6.9,Instagram,1.0,5.65,16
33,Female,3.49,Facebook,2.0,5.96,24
37,Male,1.99,TikTok,7.0,5.95,3
33,Male,2.23,Telegram,5.0,6.5,17
24,Male,2.6,Instagram,9.0,6.52,0
58,Male,1.94,TikTok,7.0,7.45,23
31,Female,1.35,TikTok,8.0,6.5,7
60,Female,5.18,Telegram,1.0,10.0,6
43,Female,0.0,Telegram,1.0,6.5,28
31,Female,7.9,Facebook,7.0,5.62,21
24,Female,4.3,TikTok,9.0,7.09,29
50,Male,0.0,Telegram,1.0,9.24,15
43,Female,0.09,Telegram,9.0,7.27,28
37,Male,3.21,Telegram,10.0,6.54,26
20,Male,3.9,Telegram,2.0,7.41,13
21,Male,3.5,Twitter,3.0,6.5,6
43,Male,2.0,Facebook,2.0,6.5,0
28,Male,1.79,Facebook,6.0,6.63,10
19,Female,3.33,Telegram,8.0,3.82,15
31,Male,3.03,Facebook,8.0,6.5,20
61,Female,3.09,Twitter,6.0,7.06,29
47,Female,3.03,Telegram,1.0,6.94,3
29,Female,1.73,Instagram,10.0,5.61,31
43,Male,5.76,TikTok,1.0,7.05,5
50,Male,2.1,Facebook,2.0,7.15,19
30,Female,3.01,TikTok,5.0,6.95,9
31,Female,0.32,Facebook,7.0,6.99,30
41,Male,3.32,TikTok,5.0,7.48,19
51,Male,3.84,TikTok,6.0,8.01,14
61,Male,0.47,TikTok,5.0,7.43,4
43,Female,1.6,Twitter,9.0,4.63,23
38,Female,1.66,Telegram,6.0,7.49,13
45,Female,0.0,Instagram,10.0,8.43,21
65,Male,3.48,Facebook,2.0,7.68,24
53,Male,3.03,TikTok,5.0,9.2,19
57,Male,1.16,Facebook,9.0,7.15,26
19,Female,2.41,Telegram,8.0,7.26,1
59,Male,2.94,TikTok,3.0,6.73,6
40,Female,2.88,TikTok,4.0,7.06,9
32,Female,1.44,Telegram,5.0,6.59,21
30,Female,3.03,Instagram,9.0,5.51,17
40,Male,4.36,Instagram,2.0,7.02,31
34,Female,1.42,Instagram,1.0,3.09,19
65,Female,6.31,Twitter,6.0,7.41,0
19,Female,3.11,Instagram,9.0,6.5,19
37,Male,3.03,Instagram,5.0,6.6,13
37,Male,4.05,Telegram,10.0,5.7,10
63,Male,3.03,Facebook,5.0,7.06,23
20,Female,3.03,TikTok,9.0,5.82,3
29,Male,5.4,Telegram,9.0,7.81,20
57,Female,3.03,TikTok,9.0,8.17,30
19,Female,2.36,Telegram,1.0,6.54,3
53,Female,2.76,Twitter,5.0,5.85,5
31,Male,2.58,TikTok,4.0,4.35,26
33,Female,2.38,Twitter,3.0,6.5,0
36,Female,0.05,Instagram,8.0,6.34,6
51,Male,2.86,TikTok,4.0,7.7,27
61,Other,2.34,Telegram,4.0,7.43,30
23,Female,2.85,Telegram,7.0,5.5,18
30,Male,0.0,Instagram,6.0,3.4,22
53,Female,2.18,Facebook,10.0,7.25,9
39,Female,4.09,Telegram,3.0,6.88,11
35,Male,0.0,TikTok,4.0,8.48,31
29,Female,0.0,Instagram,10.0,8.09,5
47,Female,4.0,Facebook,7.0,3.01,21
57,Female,4.88,Instagram,5.0,7.07,0
24,Male,4.41,Instagram,9.0,6.57,15
49,Male,5.04,Facebook,8.0,6.5,21
65,Female,0.96,Twitter,6.0,5.97,20
36,Male,3.51,Telegram,5.0,6.28,12
23,Female,3.73,Telegram,3.0,5.68,3
37,Male,5.28,Instagram,4.0,7.54,10
44,Male,4.99,Facebook,2.0,6.38,10
60,Female,4.43,Instagram,8.0,3.94,10
54,Female,1.79,TikTok,8.0,6.5,28
65,Female,0.0,Twitter,1.0,4.7,4
24,Female,0.0,Twitter,1.0,6.48,17
22,Female,3.03,Facebook,5.0,4.48,22
28,Female,4.67,Twitter,9.0,4.24,23
32,Other,1.54,Facebook,6.0,9.49,5
20,Female,4.35,Telegram,6.0,5.14,12
22,Female,4.03,TikTok,5.0,9.52,0
40,Male,0.84,TikTok,1.0,7.21,20
54,Female,5.25,Facebook,9.0,8.59,6
26,Male,3.65,Telegram,10.0,6.5,21
32,Male,0.0,Telegram,9.0,5.61,22
20,Male,2.08,Telegram,6.0,7.81,28
46,Male,5.0,Telegram,5.0,5.18,16
23,Male,1.48,Instagram,9.0,5.94,31
34,Female,3.03,Instagram,10.0,5.89,5
43,Female,5.41,Twitter,10.0,5.78,11
38,Male,1.46,Facebook,9.0,5.84,2
25,Female,0.9,Instagram,6.0,6.04,0
38,Female,4.29,TikTok,5.0,5.85,27
28,Female,3.99,Telegram,8.0,7.59,1
55,Male,4.14,Facebook,6.0,5.83,10
25,Female,2.72,TikTok,7.0,6.28,9
59,Male,5.86,Facebook,5.0,8.64,20
41,Male,3.03,Facebook,8.0,6.16,0
52,Male,2.12,Facebook,1.0,6.46,19
31,Female,3.03,Telegram,2.0,6.67,1
31,Female,3.29,Instagram,3.0,6.4,24
27,Male,0.11,Twitter,8.0,7.05,12
29,Male,0.0,Facebook,8.0,6.28,7
55,Female,2.93,Facebook,10.0,6.57,0
61,Female,1.86,Instagram,2.0,7.59,2
63,Male,0.92,Instagram,6.0,6.19,3
51,Female,2.18,Telegram,9.0,6.16,27
58,Other,4.12,TikTok,1.0,6.62,16
27,Male,3.6,Telegram,6.0,8.43,27
34,Female,2.97,Instagram,10.0,8.35,8
34,Male,0.0,Facebook,8.0,8.27,2
20,Female,0.0,Facebook,6.0,5.07,17
48,Male,5.66,Facebook,1.0,5.91,10
18,Male,2.85,Twitter,9.0,8.05,26
29,Female,4.63,Twitter,9.0,10.0,25
56,Female,3.26,TikTok,9.0,7.54,20
21,Male,3.03,TikTok,3.0,5.69,31
59,Male,2.2,Facebook,10.0,8.73,13
30,Male,5.33,TikTok,6.0,5.28,2
51,Female,4.17,TikTok,9.0,6.85,19
59,Female,1.45,Facebook,2.0,3.65,4
38,Female,4.79,Instagram,4.0,6.5,3
39,Female,1.48,Instagram,10.0,5.7,18
21,Female,3.03,Twitter,6.0,5.39,22
35,Female,0.0,Twitter,4.0,4.11,26
22,Female,2.61,Telegram,8.0,7.77,6
36,Female,3.51,Telegram,7.0,5.45,9
19,Female,1.87,Instagram,7.0,9.81,15
29,Male,4.55,Twitter,9.0,7.54,7
34,Male,0.6,TikTok,6.0,4.85,29
27,Male,4.51,Instagram,1.0,3.7,30
51,Female,3.66,Twitter,9.0,6.91,27
23,Male,1.45,Twitter,8.0,5.32,1
25,Male,0.0,Facebook,8.0,8.79,23
28,Other,6.16,Telegram,3.0,4.21,5
29,Female,2.94,Instagram,8.0,5.72,17
26,Other,1.91,Instagram,10.0,7.08,20
19,Male,2.22,TikTok,4.0,5.0,4
25,Female,1.04,Twitter,10.0,7.78,30
28,Male,4.3,Telegram,7.0,3.7,13
53,Male,3.03,Telegram,3.0,6.69,4
27,Male,0.19,TikTok,5.0,7.02,10
38,Female,3.03,TikTok,4.0,6.5,28
37,Male,0.37,Twitter,10.0,6.13,28
65,Female,4.58,Instagram,10.0,7.24,19
25,Female,3.03,Instagram,5.0,7.07,1
53,Male,5.33,Facebook,1.0,5.23,15
46,Male,5.95,Instagram,3.0,9.27,20
59,Male,2.22,TikTok,3.0,6.97,11
29,Female,1.45,Instagram,6.0,6.97,11
31,Male,3.03,Telegram,6.0,5.7,26
65,Male,0.0,Twitter,4.0,6.2,27
38,Male,0.0,Facebook,6.0,6.54,3
39,Female,1.92,Instagram,10.0,5.94,17
38,Male,0.0,Facebook,7.0,6.17,3
61,Male,4.48,Facebook,8.0,5.58,27
47,Male,3.95,TikTok,7.0,7.05,1
56,Female,3.96,Instagram,7.0,8.86,29
37,Male,5.34,Telegram,6.0,9.04,2
41,Female,3.03,Twitter,2.0,5.29,20
40,Male,0.79,Instagram,1.0,5.76,23
24,Female,5.26,TikTok,6.0,4.01,14
26,Female,1.87,Instagram,3.0,9.61,1
18,Female,3.79,TikTok,4.0,7.28,12
43,Male,0.0,TikTok,3.0,6.37,20
55,Male,5.14,Telegram,2.0,5.91,6
55,Male,3.71,TikTok,6.0,8.99,18
61,Female,0.0,Facebook,1.0,6.58,18
39,Female,5.93,Telegram,10.0,6.5,23
61,Male,3.31,Facebook,10.0,5.67,19
27,Female,6.87,Telegram,4.0,6.21,15
23,Male,0.0,Twitter,5.0,6.15,18
34,Female,3.71,Telegram,9.0,6.5,7
55,Male,1.78,Facebook,10.0,6.13,19
41,Male,2.4,TikTok,7.0,6.73,10
27,Male,3.3,TikTok,8.0,6.5,27
25,Female,0.0,TikTok,10.0,6.8,9
38,Female,7.22,Telegram,6.0,8.47,22
23,Male,6.47,Telegram,10.0,7.06,7
56,Male,0.36,Twitter,3.0,5.34,0
41,Male,2.42,Twitter,2.0,4.57,15
50,Male,3.47,Telegram,4.0,6.49,2
35,Female,1.63,Instagram,8.0,7.01,5
45,Female,4.72,Telegram,1.0,6.09,19
49,Female,3.3,Telegram,5.0,4.99,10
29,Female,2.85,Twitter,1.0,6.19,7
65,Male,4.56,Twitter,7.0,8.18,6
59,Female,0.0,Facebook,10.0,7.33,5
44,Male,1.42,Instagram,2.0,5.33,17
27,Female,2.78,TikTok,4.0,5.23,5
59,Female,0.16,Instagram,7.0,6.09,27
49,Female,0.67,Instagram,2.0,7.81,17
43,Female,3.52,TikTok,6.0,6.07,14
42,Male,7.6,Facebook,8.0,6.63,27
28,Male,5.16,Instagram,6.0,4.89,6
40,Female,0.79,Facebook,6.0,6.5,4
51,Female,5.47,TikTok,10.0,4.69,31
57,Male,3.1,Telegram,1.0,4.87,10
46,Female,1.64,TikTok,4.0,7.84,6
48,Female,3.03,Facebook,10.0,6.92,21
24,Male,3.02,Twitter,3.0,6.5,0
57,Female,0.42,Telegram,7.0,5.67,9
50,Female,2.41,Facebook,6.0,5.64,2
19,Male,5.06,Twitter,5.0,6.61,23
35,Male,2.51,Twitter,8.0,6.51,18
64,Female,5.0,Telegram,4.0,6.79,6
50,Male,3.54,Telegram,1.0,6.69,29
54,Other,6.0,Telegram,3.0,6.45,2
51,Male,0.64,TikTok,8.0,6.88,2
37,Female,2.75,Instagram,3.0,7.91,9
52,Male,2.03,Instagram,2.0,6.37,25
35,Female,3.03,Instagram,5.0,6.25,19
63,Female,3.69,Instagram,3.0,6.5,13
25,Female,3.03,Instagram,10.0,6.88,22
47,Male,0.68,Telegram,1.0,5.72,1
61,Female,1.27,Facebook,9.0,6.5,18
27,Female,4.93,Telegram,2.0,6.94,3
40,Female,3.76,TikTok,10.0,7.16,11
28,Female,1.28,Instagram,10.0,7.31,2
19,Female,5.61,Telegram,2.0,6.5,23
43,Other,3.09,Facebook,3.0,4.26,30
53,Male,3.12,Twitter,2.0,5.23,18
50,Male,1.81,Facebook,2.0,4.33,28
64,Female,3.88,Instagram,9.0,4.99,23
30,Female,0.63,TikTok,1.0,6.97,5
57,Female,1.41,Telegram,9.0,7.47,28
21,Female,0.0,Twitter,6.0,8.04,21
59,Other,1.8,TikTok,10.0,5.83,13
36,Male,4.13,Telegram,10.0,8.88,3
35,Male,5.89,Telegram,5.0,8.26,25
54,Male,3.31,Telegram,7.0,8.53,2
47,Male,4.64,Twitter,8.0,10.0,11
36,Female,4.25,Instagram,6.0,6.69,5
40,Female,1.6,Twitter,6.0,7.02,14
33,Male,3.03,Twitter,5.0,7.37,19
18,Female,3.2,Facebook,7.0,7.39,21
29,Female,6.97,Telegram,1.0,9.24,21
41,Male,3.77,Instagram,2.0,4.7,25
51,Female,2.74,Facebook,10.0,7.61,8
25,Female,0.32,Telegram,9.0,6.42,1
35,Female,2.2,Telegram,6.0,6.08,4
65,Male,2.23,Twitter,4.0,6.64,18
22,Female,4.32,TikTok,2.0,5.9,1
43,Male,1.81,Facebook,8.0,6.03,22
47,Male,3.17,Twitter,5.0,6.1,2
30,Male,3.38,Facebook,10.0,8.02,11
36,Male,3.39,Telegram,9.0,6.5,31
46,Male,1.71,Twitter,3.0,7.41,24
20,Male,1.93,Instagram,6.0,4.93,3
43,Female,3.64,Telegram,1.0,4.78,6
57,Female,1.8,Facebook,7.0,5.89,4
29,Male,0.0,Instagram,1.0,6.5,26
19,Male,3.38,Facebook,9.0,3.37,10
28,Female,0.0,Telegram,7.0,4.59,31
61,Male,2.68,Instagram,6.0,5.26,21
35,Female,2.43,Telegram,7.0,3.03,1
30,Male,6.41,Twitter,4.0,8.34,4
54,Male,4.22,Telegram,9.0,9.28,28
39,Male,1.83,TikTok,10.0,5.79,19
29,Male,0.31,Instagram,8.0,7.78,2
19,Female,0.0,Telegram,4.0,6.92,13
54,Male,0.27,TikTok,6.0,6.66,15
24,Female,1.15,Instagram,8.0,5.97,30
43,Female,0.53,Telegram,3.0,7.96,15
43,Male,3.81,Twitter,3.0,7.81,4
41,Male,2.79,Instagram,4.0,3.89,30
33,Female,0.84,Instagram,4.0,6.53,30
40,Male,2.26,Twitter,1.0,8.22,13
57,Male,0.0,Instagram,8.0,3.49,18
26,Female,3.08,TikTok,7.0,3.7,30
49,Male,3.03,Facebook,9.0,6.51,22
32,Male,0.7,Twitter,3.0,6.5,8
54,Male,2.82,Instagram,4.0,6.69,4
30,Male,0.0,Instagram,5.0,5.87,28
22,Male,1.57,TikTok,3.0,5.36,2
28,Male,1.94,Instagram,10.0,7.66,7
27,Female,4.66,Instagram,8.0,7.58,29
30,Female,4.05,TikTok,9.0,5.92,11
58,Male,2.87,Telegram,2.0,4.27,31
63,Male,1.38,Facebook,2.0,7.59,2
32,Female,2.4,TikTok,5.0,8.84,0
59,Male,4.32,TikTok,3.0,6.77,3
24,Male,3.56,TikTok,7.0,3.86,14
57,Male,5.72,Telegram,9.0,9.54,31
45,Male,2.9,Facebook,4.0,5.89,8
49,Female,3.36,Facebook,3.0,9.1,25
52,Female,0.65,Instagram,4.0,4.76,20
32,Male,2.42,TikTok,10.0,8.35,14
53,Male,2.76,Telegram,3.0,6.7,6
23,Male,0.34,TikTok,10.0,6.5,11
18,Female,2.23,Twitter,2.0,7.5,24
21,Male,6.14,Twitter,10.0,7.19,28
28,Male,4.38,TikTok,3.0,6.5,13
61,Male,3.34,Instagram,10.0,6.29,7
43,Male,0.42,Instagram,4.0,3.42,11
54,Female,3.34,Instagram,6.0,6.02,24
40,Female,2.52,Telegram,7.0,8.42,21
46,Female,5.16,Telegram,9.0,6.5,19
38,Female,3.19,Facebook,8.0,7.18,9
65,Female,6.13,Telegram,9.0,6.5,2
62,Male,6.95,Telegram,5.0,4.72,16
62,Male,3.62,Telegram,9.0,7.38,26
44,Male,3.8,Instagram,3.0,7.69,26
56,Male,2.71,Twitter,10.0,8.92,1
57,Male,0.0,Instagram,1.0,5.73,24
30,Male,0.0,Facebook,9.0,6.5,15
40,Male,4.84,TikTok,5.0,8.28,22
33,Female,5.8,TikTok,2.0,6.27,10
47,Female,1.89,Facebook,7.0,6.49,8
21,Male,2.4,Telegram,2.0,6.5,7
57,Male,2.43,Instagram,1.0,6.57,17
33,Female,1.39,Twitter,5.0,6.5,19
48,Male,7.46,Facebook,6.0,6.5,6
59,Male,2.26,Instagram,2.0,6.41,10
42,Male,5.25,Instagram,8.0,6.5,27
61,Female,0.0,Instagram,5.0,4.6,21
29,Female,5.43,Instagram,5.0,7.95,14
43,Female,7.17,Instagram,9.0,6.67,3
54,Male,3.66,TikTok,5.0,9.31,2
65,Male,4.45,Telegram,2.0,6.23,19
50,Male,4.98,Facebook,8.0,9.39,24
45,Female,4.12,Telegram,3.0,7.46,11
29,Male,1.41,Telegram,7.0,8.64,31
22,Female,4.53,Facebook,8.0,9.11,1
45,Male,0.59,Telegram,5.0,5.41,11
22,Female,0.97,Telegram,9.0,8.59,6
63,Female,0.0,Twitter,3.0,3.81,29
51,Female,1.98,Instagram,7.0,7.49,7
30,Male,5.14,Twitter,7.0,9.84,4
56,Female,4.31,Twitter,5.0,3.6,31
59,Female,2.09,TikTok,6.0,5.63,5
62,Male,1.28,Telegram,7.0,7.35,9
65,Female,6.32,Instagram,4.0,8.85,18
31,Female,0.0,TikTok,6.0,6.5,2
28,Male,2.96,Instagram,5.0,6.78,6
59,Male,0.78,TikTok,2.0,3.4,15
55,Female,3.32,Instagram,2.0,6.06,22
21,Male,3.27,Instagram,5.0,5.86,25
50,Female,4.95,Twitter,7.0,6.86,28
24,Male,5.42,Facebook,10.0,6.75,20
25,Male,1.48,TikTok,8.0,7.63,19
54,Female,3.17,Telegram,9.0,6.94,30
27,Female,5.18,Telegram,4.0,4.29,27
60,Male,4.17,TikTok,7.0,8.75,16
32,Male,0.56,Twitter,6.0,6.5,12
55,Female,3.43,Telegram,6.0,6.31,2
32,Male,4.64,Twitter,3.0,5.94,12
22,Male,1.22,Facebook,3.0,7.15,18
46,Male,1.54,TikTok,10.0,6.42,11
36,Male,1.87,Twitter,3.0,5.74,10
27,Male,1.59,Instagram,5.0,5.87,2
29,Male,3.03,Telegram,2.0,6.81,27
21,Male,2.98,Instagram,4.0,4.67,1
48,Female,2.98,Telegram,6.0,6.79,8
35,Male,3.92,TikTok,6.0,6.27,20
33,Female,2.32,TikTok,2.0,6.35,29
57,Female,0.92,Twitter,5.0,4.6,2
53,Male,1.11,TikTok,6.0,6.41,13
